symbol_nse,note
NSE:ACCELYA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ACCURACY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ACEINTEG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ACL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADFFOODS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADOR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADROITINFO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADVAIT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADVANCE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADVANIHOTR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ADVENTHTL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AEPL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AEROENTER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AEROFLEX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AERONEU-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AFFORDABLE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AFIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AFSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AGARIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AGI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AGIIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AGRITECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AGROPHOS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AGSTRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AHCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AHLADA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AHLEAST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AHLWEST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AIFL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AIRAN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AIROLAM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AJAXENGG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AJMERA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AJOONI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AJRINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AKASH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AKG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AKI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AKSHAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AKSHARCHEM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AKSHOPTFBR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALANKIT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALBERTDAVD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALEMBICLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALGOQUANT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALICON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALKALI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALLCARGO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALLDIGI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALLTIME-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALMONDZ-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALPA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALPHAGEO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ALPSINDUS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMAGI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMANTA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMBICAAGAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMBIKCO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMDIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMJLAND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMNPLST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AMRUTANJAN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANDHRAPAP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANDHRSUGAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANIKINDS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANKITMETAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANMOL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANSALAPI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANTELOPUS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANTGRAPHIC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ANUHPHR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:APCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:APCOTEXIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:APEX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:APOLLOPIPE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:APOLSINHOT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:APTECHT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AQYLON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARCHIDPLY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARCHIES-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARCOTECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARENTERP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARFIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARIES-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARIHANTCAP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARIHANTSUP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARIS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARKADE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARMANFIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AROGRANITE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARROWGREEN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARSHIYA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARSSBL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARSSINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARTEMISMED-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARTNIRMAN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARVEE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ARVSMART-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASAHISONG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASALCBR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASHIANA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASHIMASYN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASHOKAMET-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASIANENE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASIANHOTNR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASIANTILES-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASMS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASPINWALL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASTEC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ASTRON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATALREAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATAM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATCOM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATLANTAA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATLASCYCLE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATNINTER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ATULAUTO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AURIGROW-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AURUM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AUSOMENT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AUTOAXLES-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AUTOIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AVADHSUGAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AVANTEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AVG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AVONMORE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AVROIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AVTNPL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AWHCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AXITA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AYE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AYMSYNTEX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAFNAPH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAGFILMS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAIDFIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAJAJCON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAJAJHCARE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAJAJHIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAJAJINDEF-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BAJEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALAJEE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALAJITELE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALAXI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALKRISHNA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALLARPUR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALMLAWRIE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BALPHARMA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BANARBEADS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BANARISUG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BANG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BANKA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BANSALWIRE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BANSWRAS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BASML-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BBL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BBTCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BCG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BCLIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BCONCEPTS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BCPL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BEARDSELL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BEDMUTHA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BELLACASA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BEPL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BESTAGRO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BETA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BFINVEST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BFUTILITIE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BGLOBAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BGRENERGY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHAGCHEM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHAGERIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHAGYANGR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHANDARI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHARATCOAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHARATGEAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHARATRAS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHARATSE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BHARATWIRE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BIGBLOC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BILVYAPAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BIOFILCHEM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BIRLACABLE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BIRLAMONEY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BIRLANU-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BKMINDST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLBLIMITED-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLISSGVS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLKASHYAP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLSE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLUEBLENDS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLUECHIP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLUECOAST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BLUSPRING-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BMWVENTLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BODALCHEM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BOHRAIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BOMDYEING-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BONLON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BORANA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BOROLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BOROSCI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BOSCH-HCIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BPL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BRIGHOTEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BRNL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BROOKS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BSHSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BTML-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BUILDPRO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BURNPUR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BUTTERFLY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BVCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:BYKE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CALSOFT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CAMLINFINE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CANDC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CANTABIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CAPACITE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CAPITALSFB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CAPTRUST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CARERATING-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CARRARO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CARYSIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CCCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CCHHL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CEIGALL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CEINSYS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CELEBRITY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CENTENKA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CENTEXT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CENTRUM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CENTUM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CEREBRAINT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CEWATER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CHEMBOND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CHEMBONDCH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CHEMCON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CHEMFAB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CHEMPLASTS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CHEVIOT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CIFL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CINELINE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CINEVISTA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CLCIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CLEANMAX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CLEDUCATE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CLSEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CNL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:COASTCORP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:COFFEEDAY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:COMPINFO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:COMPUSOFT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:COMSYN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CONFIPET-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CONSOFINVT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CONTROLPR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CORALFINAC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CORDSCABLE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:COSMOFIRST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
